ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
37,Goddard,IG1990a,0466,umu,,muns1251,,D-M:1,,-a·,,,,NG,,final,AI,,,,,,,,,,,,,ni·š-a·ntǝp-a·-,V,AI,have two heads,,IG1990a;0466,,,kwakwa·n-ǝnaxk-a·-,V,AI,have long arms,,IG1990a;0467,,,,,,,,,,,,,,,,,,,,,,final probably means 'have',,MAM
20,Goddard,IG1990a,0463,umu,,muns1251,,D-M:1,,-a·lak-,,*-a·θak-,,hole,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
35,Goddard,IG1990a,0466,umu,,muns1251,,D-M:1,,-a·ntǝp-,,*-(a·)ntep-,,head,,medial,,,,,,,,,,,,,,ni·š-a·ntǝp-a·-,V,AI,have two heads,,IG1990a;0466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
4,Goddard,IG1990a,0456,umu,,muns1251,,D-M:1,,-a·wi·kan,,,,lower back,,initial,Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
7,Goddard,IG1990a,0456,umu,,muns1251,,D-M:1,,-ah-,,,,NG,,final,TI1a,,,,,,,,,,,,,mo·n-ah-,V,TI1a,dig (inan.) up,,IG1990a;0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
29,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,-apo·ši·š-,,,,cat,,final,N,,,,,,,,,,,,,la·we·w-apo·ši·š-,N,,wildcat,,IG1990a;0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,|po·ši·š-| pó·ši·š 'cat',,,MAM
21,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,-asǝn-,,,,stone,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,ǎsə́n 'stone',,,MAM
19,Goddard,IG1990a,0462,umu,,muns1251,,D-M:1,,-at-,,,,NG,,final,II,,,,,-ǝsi·-,,,,,,,,kwǝnahkw-at-,V,II,be tall,,IG1990a;0462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
10,Goddard,IG1990a,"0456,0464,0467",umu,,muns1251,,D-M:1,,-e·-,,,,NG,,final,AI,,,,,,,,,,,,,mo·nah-ihpǝn-e·-,V,AI,dig potatoes,,IG1990a;0456,,,nataw-ǝko·y-e·-,V,AI,look for cows,,,,IG1990a;0464,nataw-ehnayo·nkǝs-e·-,V,AI,look for horses,,IG1990a;0464,,,e·š-ǝnaxk-e·-,V,AI,stick (one's own) arm through,,IG1990a;0467,,,,,,,,MAM
31,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,-ehnayo·nkǝs-,,,,horse,,final,N,,,,,,,,,,,,,mǝxǝw-ehnayo·nkǝs-,N,,old horse,,IG1990a;0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
32,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,-ehnayo·nkǝs-,,,,horse,,medial,,,,,,,,,,,,,,nataw-ehnayo·nkǝs-e·-,V,AI,look for horses,,IG1990a;0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
44,Goddard,IG1990a,0469,umu,,muns1251,,D-M:1,,-ǝčas-,,*-ečas-,,"burn, heat",,final,TI1b,,,,,,,,,,,,,nǝsǝk-ǝčas-,V,TI1b,blacken it by burning,,IG1990a;0469,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,medial -ǝče·- 'compact object' + TI1b final -ǝs- 'act on by heat',,,MAM
45,Goddard,IG1990a,0469,umu,,muns1251,,D-M:1,,-ǝče·-,,,,compact object,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-ǝčas- TI1b final 'burn, heat'",,,,,,,MAM
25,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,-ǝko·(wǝ)y-,,,,cow,,final,N,,,,,,,,,,,,,mǝxǝw-ǝko·wǝy-,N,,old cow,,IG1990a;0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"|ko·wǝy-|, |ko·y-| 'cow' (loanwords from Dutch)",,,MAM
26,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,-ǝko·y-,,,,cow,,medial,,,,,,,,,,,,,,nataw-ǝko·y-e·-,V,AI,look for cows,,IG1990a;0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
11,Goddard,IG1990a,0461,umu,,muns1251,,D-M:1,,-ǝla·n,,,,rain,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
3,Goddard,IG1990a,0456,umu,,muns1251,,D-M:1,,-ǝn-,,,,"act on, render (thus) by hand",,final,TI1b,,,,,,,,,,,,,wihka·t-ǝn-,V,TI1b,braid it,,IG1990a;0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
39,Goddard,IG1990a,0467,umu,,muns1251,,D-M:1,,-ǝnaxk-,,,,arm,,medial,,,,,,,,,,-i·naxke·-,,,,e·š-ǝnaxk-e·-,V,AI,stick (one's own) arm through,,IG1990a;0467,,,kwakwa·n-ǝnaxk-a·-,V,AI,have long arms,,IG1990a;0467,,,kǝt-i·naxke·-xi·n,V,AI,(one's arm) be sticking out,,IG1990a;0467,,,,,,,,,,,,,,,,MAM
46,Goddard,IG1990a,0469,umu,,muns1251,,D-M:1,,-ǝs-,,,,act on by heat,,final,TI1b,,,,,,,,,,,,,nǝsǝk-ǝs-,V,TI1b,dye it black,,IG1990a;0469,,,,,,,,,,,,,,,,,,,,,,,,,"-ǝčas- TI1b final 'burn, heat'",,,,,,,MAM
18,Goddard,IG1990a,0462,umu,,muns1251,,D-M:1,,-ǝsi·-,,,,NG,,final,AI,,,,,,-at-,,,,,,,kwǝnahkw-ǝsi·-,V,AI,be tall,,IG1990a;0462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
33,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,-i·-lǝnǝw-,,,,man,,final,N,,,,,,,,,,,,,wǝsk-i·-lǝnǝw-,N,,young man,,IG1990a;0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,|ǝlǝnǝw-| lə́nəw 'man',,,MAM
47,Goddard,IG1990a,0473,umu,,muns1251,,D-M:1,,-i·kan,,,,NG,,final,N,,,Y,TI1b,,,,,,,,,paxkǝš-i·kan,N,,knife,,IG1990a;0473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
13,Goddard,IG1990a,0461,umu,,muns1251,,D-M:1,,-i·ma·kwǝsi·-,,,,smell,,final,AI,,,,,,,,,,,,,mǎči·má·kwǝsi·-,V,AI,smell bad,,IG1990a;0461,ška·kwsi·má·kwǝsi·-,,,V,AI,smell of skunk,,IG1990a;0461,,,,,,,,,,,,,,,,,,,,,,,,MAM
6,Goddard,IG1990a,0456,umu,,muns1251,,D-M:1,,-i·ne·-,,,,"be diseased, afflicted",,final,AI,,,,,,,,,,,,,wa·wi·kan-i·ne·-,V,AI,have a backache,,IG1990a;0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
23,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,-i·takwax-,,,,turtle,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,|takwax| 'turtle',,,MAM
1,Goddard,IG1990a,0455,umu,,muns1251,,D-M:1,,-ihka·t,,,,leg,leg,initial,Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
9,Goddard,IG1990a,0456,umu,,muns1251,,D-M:1,,-ihpǝn-,,,,potato,,medial,,,,,,,,,,,,,,mo·nah-ihpǝn-e·-,V,AI,dig potatoes,,IG1990a;0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
42,Goddard,IG1990a,0467,umu,,muns1251,,D-M:1,,-xi·n,,,,"lie, be",,final,AI,,,,,,,,,,,,,kǝt-i·naxke·-xi·n,V,AI,(one's arm) be sticking out,,IG1990a;0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
49,Goddard,IG1971,0141,umu,,muns1251,,D-M:2,,/-áhkamē/,,*wa·xham-,,"day, sky",,final
38,Goddard,IG1990a,0467,umu,,muns1251,,D-M:1,,e·š-,,,,(go) through,go through,initial,,,,,,,,,,,,,,e·š-ǝnaxk-e·-,V,AI,stick (one's own) arm through,,IG1990a;0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
41,Goddard,IG1990a,0467,umu,,muns1251,,D-M:1,,kǝt-,,,,(go) out,go out,initial,,,,,,,,,,,,,,kǝt-i·naxke·-xi·n,V,AI,(one's arm) be sticking out,,IG1990a;0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
40,Goddard,IG1990a,0467,umu,,muns1251,,D-M:1,,kwakwa·n-,,,,long (pl.),long,initial,,,,,,,,,,,,,,kwakwa·n-ǝnaxk-a·-,V,AI,have long arms,,IG1990a;0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
30,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,la·we·w-,,,,wild,wild,initial,,,,,,,,,,,,,,la·we·w-apo·ši·š-,N,,wildcat,,IG1990a;0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
12,Goddard,IG1990a,0461,umu,,muns1251,,D-M:1,,mat-,,,,bad,bad,initial,,,,,,,,,,,,,,mǎči·má·kwǝsi·-,V,AI,smell bad,,IG1990a;0461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
27,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,mǝxǝw-,,,,old,old,initial,,,,,,,,,,,,,,mǝxǝw-ǝko·wǝy-,N,,old cow,,IG1990a;0464,,,mǝxǝw-ehnayo·nkǝs-,N,,old horse,,IG1990a;0464,,,,,,,,,,,,,,,,,,,,,,,,MAM
8,Goddard,IG1990a,0456,umu,,muns1251,,D-M:1,,mo·nah-,,,,dig,dig,initial,,,,,,,,,,,,,,mo·nah-ihpǝn-e·-,V,AI,dig potatoes,,IG1990a;0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,mo·n-ah- 'dig (inan.) up',Assuming initial means 'dig'; not stated explicitly,,MAM
28,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,nataw-,,,,seek,seek,initial,,,,,,,,,,,,,,nataw-ǝko·y-e·-,V,,look for cows,,IG1990a;0464,,,nataw-ehnayo·nkǝs-e·-,V,AI,look for horses,,IG1990a;0464,,,,,,,,,,,,,,,,,,,,,,,,MAM
22,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,nǝsǝk-,,,,black,black,initial,,,,,,,,,,,,,,nǝsǝk-ǝčas-,V,TI1b,blacken it by burning,,IG1990a;0469,,,nǝsǝk-ǝs-,V,TI1b,dye it black,,IG1990a;0469,,,,,,,,,,,,,,,,,,,,,,,,MAM
36,Goddard,IG1990a,0466,umu,,muns1251,,D-M:1,,ni·š-,,,,two,two,initial,,,,,,,,,,,,,,ni·š-a·ntǝp-a·-,V,AI,have two heads,,IG1990a;0466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
24,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,pi·sǝl-,,,,wrinkled,wrinkled,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
14,Goddard,IG1990a,0461,umu,,muns1251,,D-M:1,,ška·kws-,,,,skunk,skunk,initial,,,,,,,,,,,,,,,,,,,,ška·kwsi·má·kwǝsi·-,,,V,AI,smell of skunk,,IG1990a;0461,,,,,,,,,,,,,,,,,,,,Y,šká·kwǝs 'skunk',,,MAM
5,Goddard,IG1990a,0456,umu,,muns1251,,D-M:1,,wa·wi·kan-,,,,lower back,,initial,,,,,,,,,,,,,,wa·wi·kan-i·ne·-,V,AI,have a backache,,IG1990a;0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,wa·wí·kan 'his lower back',,,MAM
34,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,wǝsk-,,,,young,young,initial,,,,,,,,,,,,,,wǝsk-i·-lǝnǝw-,N,,young man,,IG1990a;0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
2,Goddard,IG1990a,0455,umu,,muns1251,,D-M:1,,wihka·t-,,,,leg,leg,initial,,,,,,,,,,,,,,wihka·t-ǝn-,V,TI1b,braid it,,IG1990a;0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,wihka·t 'his leg',,,MAM
48,Goddard,IG1980,0145,umu,,muns1251,lxaw-,D-M:1,,,,*θaʔθaw-,,fork(ed),"fork, forked",initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
15,Goddard,IG1990a,0460,umu,,muns1249,kwǝn-,D-M:1,,,,,,long,long,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
17,Goddard,IG1990a,0462,umu,,muns1251,kwǝnahkw-,D-M:1,,,,,,tall,tall,initial,,,,,,,,,,,,,,kwǝnahkw-ǝsi·-,V,AI,be tall,,IG1990a;0462,,,kwǝnahkw-at-,V,II,be tall,,IG1990a;0462,,,,,,,,,,,,,,,,,,,,Y,"root kwǝn- 'long' + medial -ahkw- 'wood, solid'",,,MAM
16,Goddard,IG1990a,0461,umu,,muns1250,-ahkw-,D-M:0,,,,,,"wood, solid",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
