ID,Author Surname,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Allomorph-B,Condition-B,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
1,Baraby et al,moe,,mont1268,apishi-,C-I:Standard,,,,,,small,small,initial,,,,,,,,,,,,,,apishi-tun-e-,,,V,AI,have a small mouth,,AMB_ET_AL2002;0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Called a root in the source, ,GVM,MAM
2,Baraby et al,moe,,mont1268,-tun- ,C-I:Standard,,,,,,mouth,,medial,INCORP,,,,,,,,,,,,,apishi-tun-e-,,,V,AI,have a small mouth,,AMB_ET_AL2002;0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Often translated by ""lips"" (lévres) in French", ,GVM,MAM
3,Baraby et al,moe,,mont1268,-e ,C-I:Standard,,,,,,NG,,final,,,,,,,,,,,,,,apishi-tun-e-,,,V,AI,have a small mouth,,AMB_ET_AL2002;0002,mamitsh-ashku-puam-e-,,,V,AI,have big thighs,,AMB_ET_AL2002;0002,kanu-ashku-titsh-e-,,,V,AI,have big hands,,AMB_ET_AL2002;0003,,,,,,,,,,,,,,, ,GVM,MAM
4,Baraby et al,moe,,mont1268,mamitsh-,C-I:Standard,,,,,,big,big,initial,,,,,,,,,,,,,,mamitsh-ashku-puam-e-,,,V,AI,have big thighs,,AMB_ET_AL2002;0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Called a root in the source; double medial, ,GVM,MAM
6,Baraby et al,moe,,mont1268,-puam- ,C-I:Standard,,,,,,thigh,,medial,INCORP,,,,,,,,,,,,,mamitsh-ashku-puam-e-,,,V,AI,have big thighs,,AMB_ET_AL2002;0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double medial in example, ,GVM,MAM
7,Baraby et al,moe,,mont1268,kanu-,C-I:Standard,,,,,,NG,,initial,,,,,,,,,,,,,,kanu-ashku-titsh-e-,,,V,AI,have big hands,,AMB_ET_AL2002;0003,kanu-apetsh-ishit-e-,,,V,AI,have long feet,,AMB_ET_AL2002;0003,,,,,,,,,,,,,,,,,,,,,,Double medial in example,,,MAM
8,Baraby et al,moe,,mont1268,-titsh- ,C-I:Standard,,,,,,hand,,medial,INCORP,,,,,,,,,,,,,kanu-ashku-titsh-e-,,,V,AI,have big hands,,AMB_ET_AL2002;0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double medial in example, ,GVM,MAM
9,Baraby et al,moe,,mont1268,uishau-,C-I:Standard,,,,,,yellow,yellow,initial,,,,,,,,,,,,,,uishau-ashku-apit-e-,,,V,AI,have yellow teeth,,AMB_ET_AL2002;0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
10,Baraby et al,moe,,mont1269,-apit-,C-I:Standard,,,,,,tooth,,medial,INCORP,,,,,,,,,,,,,uishau-ashku-apit-e-,,,V,AI,have yellow teeth,,AMB_ET_AL2002;0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVM,MAM
11,Baraby et al,moe,,mont1268,-ishit- ,C-I:Standard,,,,,,foot,,medial,INCORP,,,,,,,,,,,,,kanu-apetsh-ishit-e-,,,V,AI,have long feet,,AMB_ET_AL2002;0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
13,Baraby et al,moe,,mont1268,-pishkueun- ,C-I:Standard,,,,,,hair,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
14,Baraby et al,moe,,mont1268,-shtikuan- ,C-I:Standard,,,,,,head,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
15,Baraby et al,moe,,mont1268,-pitun- ,C-I:Standard,,,,,,arm,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
16,Baraby et al,moe,,mont1268,-kash- ,C-I:Standard,,,,,,nail,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nail' as in fingernail, ,GVM,MAM
17,Baraby et al,moe,"Western: Betsiamites, Uashat (Sept-Iles)/Maliotenam and Schefferville (Matimekosh)",mont1268,-ssun- ,C-I:Standard,,,,,,nose,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
18,Baraby et al,moe,"Eastern: Lower North Shore communities (Mingan, Natashquan, La Romaine and St-Augustin) and Sheshatshiu (Labrador)",mont1268,-kut- ,C-I:Standard,,,,,,nose,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
19,Baraby et al,moe,,mont1268,-shkatiku- ,C-I:Standard,,,,,,forehead,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
21,Baraby et al,moe,,mont1268,-tutsh- ,C-I:Standard,,,,,,ear,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
22,Baraby et al,moe,,mont1268,-apissikan- ,C-I:Standard,,,,,,chin,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
23,Baraby et al,moe,,mont1268,-ap- ,C-I:Standard,,,,,,eye,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Productive; not derived from noun; suppletive, ,GVM,MAM
24,Baraby et al,moe,,mont1268,-kuei- ,C-I:Standard,,,,,,neck,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
25,Baraby et al,moe,,mont1268,-titiman- ,C-I:Standard,,,,,,shoulder,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
27,Baraby et al,moe,,mont1268,-tushkun-  ,C-I:Standard,,,,,,elbow,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
28,Baraby et al,moe,,mont1268,-shkassikan- ,C-I:Standard,,,,,,chest,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
29,Baraby et al,moe,,mont1268,-shkatai- ,C-I:Standard,,,,,,belly,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
30,Baraby et al,moe,,mont1268,-tukan- ,C-I:Standard,,,,,,hip,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"From Drapeau 1990: utukan 'tête, col de fémur'", ,GVM,MAM
31,Baraby et al,moe,"Western: Betsiamites, Uashat (Sept-Iles)/Maliotenam and Schefferville (Matimekosh)",mont1268,-tishi- ,C-I:Standard,,,,,,navel,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
32,Baraby et al,moe,"Eastern: Lower North Shore communities (Mingan, Natashquan, La Romaine and St-Augustin) and Sheshatshiu (Labrador)",mont1268,-tishiap- ,C-I:Standard,,,,,,navel,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
33,Baraby et al,moe,,mont1268,-tshikun- ,C-I:Standard,,,,,,knee,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
34,Baraby et al,moe,,mont1268,-kat- ,C-I:Standard,,,,,,leg,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
35,Baraby et al,moe,,mont1268,-shit- ,C-I:Standard,,,,,,foot,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
36,Baraby et al,moe,,mont1268,-tutan-,C-I:Standard,,,,,,heel,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
37,Baraby et al,moe,,mont1268,-tashtan-,C-I:Standard,,,,,,calf,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
38,Baraby et al,moe,,mont1268,-shikakun- ,C-I:Standard,,,,,,back of the knee,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
39,Baraby et al,moe,,mont1268,-shukun- ,C-I:Standard,,,,,,hip,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
40,Baraby et al,moe,,mont1268,-pishkun- ,C-I:Standard,,,,,,back,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
41,Baraby et al,moe,,mont1268,-tikuai-,C-I:Standard,,,,,,armpit,,medial,INCORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,GVM,MAM
42,Lambert-Bretiere,moe,,mont1268,mashku,C-I:Revised,,,,,,hard,hard,initial,,,,,,,,,,,,,,mashku-shtikuan-e, ,,V,AI,to be hardheaded,,RLB2020;0102,mashku-e,,,,AI,to be hard,,RLB2020;0102,mashkhu-shtikuan-e-i,,,V,TA,to make someone stubborn,,RLB2020;0103,,,,,,,,,,,,,,, 
43,Lambert-Bretiere,moe,,mont1268,-shtikuan,C-I:Revised,,,,,,head,,medial,,,,,,,,,,,,,,mashku-shtikuan-e, ,,V,AI,to be hardheaded,,RLB2020;0102,mashkhu-shtikuan-e-i,,,,TA,to make someone stubborn,,RLB2020;0103,,,,,,,,,,,,,,,,,,,,,,, 
44,Lambert-Bretiere,moe,,mont1268,-e ,C-I:Revised,,,,,,NG,,final,AI,,,,,,,,,,,,,mashku-shtikuan-e , ,,V,AI,to be hardheaded,,RLB2020;0102,mashku-e,,,,AI,to be hard,,RLB2020;0102,mashkhu-shtikuan-e-i,,,V,TA,to make someone stubborn,,RLB2020;0103,nutsh-atshakashu-e,,,V,AI,to hunt mink,RLB2020;0107,,,,,,,, 
45,Lambert-Bretiere,moe,,mont1268,-i,C-I:Revised,,,,,,causative,,final,TA,,,Y,AI,,,,,,,,,mashkhu-shtikuan-e-i,,,V,TA,to make someone stubborn,,RLB2020;0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L-B lists as ""radical""", 
46,Lambert-Bretiere,moe,,mont1268,nip,C-I:Revised,,,,,,die,die,initial,,,,,,,,,,,,,,nip-i,,,V,AI,to be dead,,RLB2020;0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
47,Lambert-Bretiere,moe,,mont1268,-i,C-I:Revised,,,,,,NG,,final,AI,,,,,,,,,,,,,nip-i,,,V,AI,to be dead,,RLB2020;0103,itash-i,,,V,AI,"to be so many, to be numerous",,RLB2020;0103,,,,,,,,,,,,,,,,,,,,,,, 
48,Lambert-Bretiere,moe,,mont1268,ut,C-I:Revised,,,,,,take,take,initial,,,,,,,,,,,,,,ut-in,,,V,TA,to take something (animate),,RLB2020;0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
49,Lambert-Bretiere,moe,,mont1268,-in,C-I:Revised,,,,,,NG,,final,TA,,,,,,,,,,,,,ut-in,,,V,TA,to take something (animate),,RLB2020;0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
50,Lambert-Bretiere,moe,,mont1268,pita,C-I:Revised,,,,,,thin,thin,initial,,,,,,,,,,,,,,pita-u,,,V,TA,to thin something (animate),,RLB2020;0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
51,Lambert-Bretiere,moe,,mont1268,-u,C-I:Revised,,,,,,NG,,final,TA,,,,,,,,,,,,,pita-u,,,V,TA,to thin something (animate),,RLB2020;0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
52,Lambert-Bretiere,moe,,mont1268,itash,C-I:Revised,,,,,,numerous,numerous,initial,,,,,,,,,,,,,,itash-i,,,V,AI,"to be so many, to be numerous",,RLB2020;0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
53,Lambert-Bretiere,moe,,mont1268,nimitauessetshi,C-I:Revised,,,,,,toward middle marsh,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,L-B treats as adv, 
54,Lambert-Bretiere,moe,,mont1268,-pata,C-I:Revised,,,,,,running,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
55,Lambert-Bretiere,moe,,mont1268,-u,C-I:Revised,,,,,,be,,final,AI,,,Y,N,,-u,,,,,,,auass-u,,,V,AI,to be young,,RLB2020;0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
56,Lambert-Bretiere,moe,,mont1268,-i,C-I:Revised,,,,,,NG,,final,TA,,,,,,,,,,,,,nipa-i,,,V,TA,to kill,,RLB2020;0104,nipa-i-ue,,,V,II,to kill,,RLB2020;0104,,,,,,,,,,,,,,,,,,,,,,, 
57,Lambert-Bretiere,moe,,mont1268,-ue,C-I:Revised,,,,,,antip.,,final,II,,,Y,TA,-ue,,,,,,,,nipa-i-ue,,,V,II,to kill,,RLB2020;0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
58,Lambert-Bretiere,moe,,mont1268,-ue,C-I:Revised,,,,,,antip.,,final,AI,,,Y,TA,,-ue,,,,,,,nipa-i-ue,,,V,II,to kill,,RLB2020;0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
59,Lambert-Bretiere,moe,,mont1268,-u,C-I:Revised,,,,,,be,,final,II,,,Y,N,-u,,,,,,,,kun-u,,,V,II,to be snow,,RLB2020;0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
60,Lambert-Bretiere,moe,,mont1268,-shi,C-I:Revised,,,,,,diminutive,,final,II,,,Y,II,-sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
61,Lambert-Bretiere,moe,,mont1268,atuss,C-I:Revised,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"used in ""'he works' [process]""", 
62,Lambert-Bretiere,moe,,mont1268,takushi,C-I:Revised,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"used in ""'he arrives' [event]""", 
63,Lambert-Bretiere,moe,,mont1268,nip,C-I:Revised,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"used in ""'he dreams [state]'""", 
64,Lambert-Bretiere,moe,,mont1268,-e ,C-I:Revised,,,,,,NG,,final,,,ABSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
65,Lambert-Bretiere,moe,,mont1268,-n,C-I:Revised,,,,,,NG,,final,,,ABSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
66,Lambert-Bretiere,moe,,mont1268,-a,C-I:Revised,,,,,,NG,,final,,,ABSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
67,Lambert-Bretiere,moe,,mont1268,apa,C-I:Revised,,,,,,melt,melt,initial,,,,,,,,,,,,,,apa-shu,,,V,AI,he melts,,RLB2020;0105,,apa-te,,V,II,it melts,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,, 
68,Lambert-Bretiere,moe,,mont1268,-shu,C-I:Revised,,,,,,by heat,,final,AI,,CONCR,,,,-te,,,,,,,apa-shu ,,,V,AI,he melts,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
69,Lambert-Bretiere,moe,,mont1268,-te,C-I:Revised,,,,,,by heat,,final,II,,CONCR,,,-shu,,,,,,,,apa-te ,,,V,II,it melts,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
70,Lambert-Bretiere,moe,,mont1268,uishtimu,C-I:Revised,,,,,,dog,dog,initial,,,,,,,,,,,,,,uishtimu-kan ,,,V,II,it smells like a dog,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
71,Lambert-Bretiere,moe,,mont1268,-kan,C-I:Revised,,,,,,smell like,,final,II,,CONCR,,,,,,,,,,,uishtimu-kan ,,,V,II,it smells like a dog,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
72,Lambert-Bretiere,moe,,mont1268,kuishku,C-I:Revised,,,,,,straight,straight,initial,,,,,,,,,,,,,,kuishku-kute,,,V,AI,he is suspended straight,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
73,Lambert-Bretiere,moe,,mont1268,-kute,C-I:Revised,,,,,,suspended,,final,AI,,CONCR,,,,,,,,,,,kuishku-kute,,,V,AI,he is suspended straight,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
74,Lambert-Bretiere,moe,,mont1268,ashtue,C-I:Revised,,,,,,extinguish,extinguish,initial,,,,,,,,,,,,,,ashtue-shk,,,V,TI,to extinguish with feet,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
75,Lambert-Bretiere,moe,,mont1268,-shk,C-I:Revised,,,,,,with feet,,final,TI,,CONCR,,,,,,,,,,,ashtue-shk,,,V,TI,to extinguish with feet,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
76,Lambert-Bretiere,moe,,mont1268,shakutsh,C-I:Revised,,,,,,split,split,initial,,,,,,,,,,,,,,shakutsh-ikau,,,V,TA,to split with an ax,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
77,Lambert-Bretiere,moe,,mont1268,-ikau,C-I:Revised,,,,,,with ax,,final,TA,,CONCR,,,,,,,,,,,shakutsh-ikau,,,V,TA,to split with an ax,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
78,Lambert-Bretiere,moe,,mont1268,nipa,C-I:Revised,,,,,,by night,,initial,,,,,,,,,,,,,,nipa-pic-i,,,V,AI,to travel by night dragging a sleigh,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
79,Lambert-Bretiere,moe,,mont1268,-pic,C-I:Revised,,,,,,dragging a sleigh; en traînant un toboggan,,final,,,CONCR,,,,,,,,,,,nipa-pic-i,,,V,AI,to travel by night dragging a sleigh,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
80,Lambert-Bretiere,moe,,mont1268,-i,C-I:Revised,,,,,,NG,,final,AI,,ABSTR,,,,,,,,,,,nipa-pic-i,,,V,AI,to travel by night dragging a sleigh,,RLB2020;0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
81,Lambert-Bretiere,moe,,mont1268,akun,C-I:Revised,,,,,,cover; couvrir,,initial,,,,,,,,,,,,,,akun-u,,,V,TA,to cover with instrument,,RLB2020;0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
82,Lambert-Bretiere,moe,,mont1268,-u,C-I:Revised,,,,,,with instrument,,final,TA,,,,,,,,-ai,,,,,akun-u,,,V,TA,to cover with instrument,,RLB2020;0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L-B treats final as portmanteau concrete+abstract""", 
