Components ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
1,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",ah-,C-M:1,,,,,,by instrument,,final,TI,,,,,,,ahw-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ellis,CDE2000,248,"crm, csw",,"moos1236, swam1239",aht-,C-M:1,,,,,,NG,,final,TI,,,,,,,am-,,,,wâpaht-,,,V,TI,see s.t.,,,,,,,,,,,,,,,,stem source not checked - no pdf,,,
3,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",ahw-,C-M:1,,,,,,by instrument,,final,TA,,,,,,,,ah-,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",aki,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ellis,CDE2000,248,"crm, csw",,"moos1236, swam1239",am-,C-M:1,,,,,,NG,,final,TA,,,,,,,,aht-,,,wâpam-,,,V,TA,see s.o.,,,,,,,,,,,,,,,,stem source not checked - no pdf,,,
6,Ellis,CDE2000,199,"crm, csw",,"moos1236, swam1239",âpaht-,C-M:1,,,,,,NG,,final,TI,,,,,,,âpam-,,,,,,,,,,,,,,,,,,,,,,,Y,,"parallel to common stems wâpam-, wâpaht- so suffix probably means 'see'",,,
7,Ellis,CDE2000,199,"crm, csw",,"moos1236, swam1239",âpam-,C-M:1,,,,,,NG,,final,TA,,,,,,,,âpaht-,,,natawâpaht-,,,V,TI,NG,,,kanawâpaht-,,,V,TI,NG,,,,,,Y,,"*stem source not checked - no pdf* parallel to common stems wâpam-, wâpaht- so suffix probably means 'see'",,,
8,Ellis,CDE2000,224,"crm, csw",,"moos1236, swam1239",aw-,C-M:1,,,,,,NG,,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM: Not translated but examples show it's applicative,,,
9,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",cîk,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ellis,CDE2000,200,"crm, csw",,"moos1236, swam1239",êliht-,C-M:1,,,,,,by thought,,final,TI,,,,,,,êlim-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ellis,CDE2000,200,"crm, csw",,"moos1236, swam1239",êlim-,C-M:1,,,,,,by thought,,final,TA,,,,,,,,êliht-,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ellis,CDE2000,225,"crm, csw",,"moos1236, swam1239",h-,C-M:1,,,,,,causative,,final,TA,,,,,,,,htâ-,,,,,,,,,,,,,,,,,,,,,,,,"defined as ""abstract finals often associated with causative meaning""",,,
13,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",ht-,C-M:1,,,,,,by speech or perception,,final,TI,,,,,,,m-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ellis,CDE2000,225,"crm, csw",,"moos1236, swam1239",htâ-,C-M:1,,,,,,causative,,final,TI,,,,,,,h-,,,,,,,,,,,,,,,,,,,,,,,,,"defined as ""abstract finals often associated with causative meaning""",,,
15,Ellis,CDE2000,200,"crm, csw",,"moos1236, swam1239",i,C-M:1,,,,,,NG,,final,PREV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ellis,CDE2000,248,"crm, csw",,"moos1236, swam1239",iskwâ,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ellis,CDE2000,200,"crm, csw",,"moos1236, swam1239",it,C-M:1,,,,,,"so, thus",,initial,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM: Text does not say relative root; I'm just assuming it from form and definition,,,
18,Ellis,CDE2000,248,"crm, csw",,"moos1236, swam1239",itohta,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Ellis,CDE2000,437,"crm, csw",,"moos1236, swam1239",iwan,C-M:1,,,,,,be,,final,II,,,Y,N,iwi,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM: Verbs not given segmented; I'm assuming this is the right form.,,,
20,Ellis,CDE2000,437,"crm, csw",,"moos1236, swam1239",iwi,C-M:1,,,,,,be,,final,AI,,,Y,N,,iwan,,,,,,,,,,,,,,,,,,,,,,,,,,Consists of verbalizing affix iw and VAI stem vowel i,,,
21,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",ɩn-,C-M:1,,,,,,by hand,,final,TA,,,,,,,,ɩn-,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",ɩn-,C-M:1,,,,,,by hand,,final,TI,,,,,,,ɩn-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",ɩs-,C-M:1,,,,,,by heat,,final,TI,,,,,,,ɩsw-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",ɩšk-,C-M:1,,,,,,by foot or body movement,,final,TI,,,,,,,ɩškaw-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",ɩškaw-,C-M:1,,,,,,by foot or body movement,,final,TA,,,,,,,,ɩšk-,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",ɩsw-,C-M:1,,,,,,by heat,,final,TA,,,,,,,,ɩs-,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Ellis,CDE2000,168,"crm, csw",,"moos1236, swam1239",ɩto,C-M:1,,,,,,reciprocal,,final,TA,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 7: <ɩ> used when suffix introduced in grammar section; <i> used elsewhere. ""... has to do with certain very old sound changes that still affect the form of modern Cree.""",,,
28,Ellis,CDE2000,200,"crm, csw",,"moos1236, swam1239",kanaw,C-M:1,,,,,,"focus on, retain",,initial,,,,,,,,,,,,kanawâpaht-,,,V,TI,NG,,,,,,,,,,,,,,,,stem source not checked - no pdf,,,
29,Ellis,CDE2000,250,"crm, csw",,"moos1236, swam1239",kê-,C-M:1,,,,,,doing things generally,,final,AI,,,Y,TI,,,,,,,pâskisikê-,,,V,AI,shoot things generally,,,,,,,,,,,,,,,,stem source not checked - no pdf,,,
30,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",kîhkâ,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ellis,CDE2000,248,"crm, csw",,"moos1236, swam1239",kiš,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Ellis,CDE2000,248,"crm, csw",,"moos1236, swam1239",kitot,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",koc,C-M:1,,,,,,try,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",m-,C-M:1,,,,,,by speech or perception,,final,TA,,,,,,,,ht-,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ellis,CDE2000,332,"crm, csw",,"moos1236, swam1239",m-,C-M:1,,,,,,NG,,final,TA,,,Y,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goes with ""prefix"" wîci 'together with' - creates comitative",,,
36,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",milâ,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Ellis,CDE2000,249,"crm, csw",,"moos1236, swam1239",milo,C-M:1,,,,,,"good, fine",,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",nah,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ellis,CDE2000,248,"crm, csw",,"moos1236, swam1239",naka,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Ellis,CDE2000,249,"crm, csw",,"moos1236, swam1239","nân'taw, nanâtaw",C-M:1,,,,,,"tend to, seek to",,initial,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Ellis,CDE2000,200,"crm, csw",,"moos1236, swam1239",nataw,C-M:1,,,,,,"tend to, seek to",,initial,,,,,,,,,,,,natawâpaht-,,,V,TI,NG,,,,,,,,,,,,,,,,stem source not checked - no pdf,,,
42,Ellis,CDE2000,248,"crm, csw",,"moos1236, swam1239",oši,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",ot,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",otâm,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",pâsk,C-M:1,,,,,,burst,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Ellis,CDE2000,333,"crm, csw",,"moos1236, swam1239",pêt,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probably means 'come',,,
47,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",pîkw,C-M:1,,,,,,break,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",pist,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Ellis,CDE2000,250,"crm, csw",,"moos1236, swam1239",pit-,C-M:1,,,,,,by pulling action,,final,TA,,,,,,,,pit-,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Ellis,CDE2000,250,"crm, csw",,"moos1236, swam1239",pit-,C-M:1,,,,,,by pulling action,,final,TI,,,,,,,pit-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",pohc,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",t-,C-M:1,,,,,,NG,,final,TA,,ABSTR,,,,,,t-,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",t-,C-M:1,,,,,,NG,,final,TI,,ABSTR,,,,,t-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",tahk,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",têpwâ,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",wani,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",wêp,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Ellis,CDE2000,333,"crm, csw",,"moos1236, swam1239",wît,C-M:1,,,,,,together with,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Ellis,CDE2000,249,"crm, csw",,"moos1236, swam1239",wîyat,C-M:1,,,,,,"funny, amuse",,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,